date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:35	11520/11520	---M--	404	error ('Not%20Found')	text/html	etag:%22909216-2d00-4a351cb758e00;4a358bf227a80%22	http://maven.apache.org/robots.txt		(from )
12:30:36	15213/15213	---M--	200	added ('OK')	text/html	etag:%22406ef1-3b6d-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/index.html	(from )
12:30:36	2297/2297	---M--	200	added ('OK')	text/css	etag:%2240705f-8f9-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/css/maven-base.css	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/css/maven-base.css	(from )
12:30:36	4757/4757	---M--	200	added ('OK')	text/css	etag:%22407060-1295-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/css/maven-theme.css	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/css/maven-theme.css	(from )
12:30:37	53/53	---M--	200	added ('OK')	text/css	etag:%22407062-35-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/css/site.css	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/css/site.css	(from )
12:30:37	222/222	---M--	200	added ('OK')	text/css	etag:%22407061-de-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/css/print.css	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/css/print.css	(from )
12:30:38	22678/22678	---MC-	200	added ('OK')	text/javascript	date:Mon,%2009%20May%202011%2017:50:31%20GMT	http://www.google-analytics.com/urchin.js	D:/shared/MavenEclipsePlugin/www.google-analytics.com/urchin.js	(from )
12:30:38	33442/33442	---M--	200	added ('OK')	image/png	etag:%22909298-82a2-4a351cb758e00%22	http://maven.apache.org/images/apache-maven-project-2.png	D:/shared/MavenEclipsePlugin/maven.apache.org/images/apache-maven-project-2.png	(from )
12:30:39	26415/26415	---M--	200	added ('OK')	image/gif	etag:%229092b6-672f-4a351cb758e00%22	http://maven.apache.org/images/maven-logo-2.gif	D:/shared/MavenEclipsePlugin/maven.apache.org/images/maven-logo-2.gif	(from )
12:30:39	14750/14750	---M--	200	added ('OK')	text/html	etag:%22406efc-399e-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/plugin-info.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/plugin-info.html	(from )
12:30:39	12364/12364	---M--	200	added ('OK')	text/html	etag:%22406f0d-304c-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/usage.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/usage.html	(from )
12:30:40	10485/10485	---M--	200	added ('OK')	text/html	etag:%22406eef-28f5-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/faq.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/faq.html	(from )
12:30:40	8616/8616	---M--	200	added ('OK')	text/html	etag:%224070f5-21a8-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/trouble-shooting/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/trouble-shooting/index.html	(from )
12:30:41	14032/14032	---M--	200	added ('OK')	text/html	etag:%22406f06-36d0-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/reactor.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/reactor.html	(from )
